OID,fid_1,id,tree_cat,Name_Tree_,Photo,Descriptio,Date,in_avgtemp,in_avghum,ot_avgtemp,ot_avghum,tree_den,build_den,dis_to_bui,dis_to_wat,lat,long
-1,6221,20,7,amstel king,C:\Users\jadoo\Downloads\nust_33.jpg,moraceae,18/12/2023 0:00,27.8068008,35.8213997,24.9046993,46.7803001,10659.90039,0,37.9095993,341.7130127,33.63977118,72.98470779
-1,6222,20,7,amstel king,C:\Users\jadoo\Downloads\nust_33.jpg,moraceae,18/12/2023 0:00,27.8068008,35.8213997,24.9046993,46.7803001,10144.09961,0,47.3871002,347.0599976,33.63975136,72.98472129
-1,6223,20,7,amstel king,C:\Users\jadoo\Downloads\nust_33.jpg,moraceae,18/12/2023 0:00,27.8069,35.8208008,24.8880997,46.8530998,10144.09961,0,47.3871002,347.0599976,33.63974107,72.98473257
-1,6224,20,7,amstel king,C:\Users\jadoo\Downloads\nust_33.jpg,moraceae,18/12/2023 0:00,27.8069,35.8208008,24.8880997,46.8530998,10144.09961,0,47.3871002,347.0599976,33.63972125,72.98474607
-1,6225,20,7,amstel king,C:\Users\jadoo\Downloads\nust_33.jpg,moraceae,18/12/2023 0:00,27.8069,35.8208008,24.8880997,46.8530998,10144.09961,0,47.3871002,347.0599976,33.63974107,72.98473257
-1,6226,20,7,amstel king,C:\Users\jadoo\Downloads\nust_33.jpg,moraceae,18/12/2023 0:00,27.8069,35.8208008,24.8880997,46.8530998,10144.09961,0,47.3871002,347.0599976,33.63972125,72.98474607
-1,6227,20,7,amstel king,C:\Users\jadoo\Downloads\nust_33.jpg,moraceae,18/12/2023 0:00,27.8068008,35.8213997,24.9046993,46.7803001,10659.90039,0,37.9095993,341.7130127,33.63978278,72.98472381
-1,6228,20,7,amstel king,C:\Users\jadoo\Downloads\nust_33.jpg,moraceae,18/12/2023 0:00,27.8068008,35.8213997,24.9046993,46.7803001,10659.90039,0,37.9095993,341.7130127,33.63979157,72.98473212
-1,6229,20,7,amstel king,C:\Users\jadoo\Downloads\nust_33.jpg,moraceae,18/12/2023 0:00,27.8068008,35.8213997,24.9046993,46.7803001,10659.90039,0,37.9095993,341.7130127,33.63979839,72.98474151
-1,6230,20,7,amstel king,C:\Users\jadoo\Downloads\nust_33.jpg,moraceae,18/12/2023 0:00,27.8038006,35.8400993,24.9109001,46.7458,10659.90039,0,37.9095993,341.7130127,33.63979041,72.98475381
-1,6231,20,7,amstel king,C:\Users\jadoo\Downloads\nust_33.jpg,moraceae,18/12/2023 0:00,27.8071995,35.7879982,24.9242992,46.7084007,10831.7998,92.0154037,18.9547997,337.4809875,33.6399851,72.98457566
-1,6232,20,7,amstel king,C:\Users\jadoo\Downloads\nust_33.jpg,moraceae,18/12/2023 0:00,27.8071995,35.7877007,24.9407997,46.6332016,10831.7998,92.0154037,18.9547997,337.4809875,33.63999762,72.98456765
-1,6233,20,7,amstel king,C:\Users\jadoo\Downloads\nust_33.jpg,moraceae,18/12/2023 0:00,27.8071995,35.8039017,24.9484997,46.5923996,10831.7998,92.0154037,18.9547997,337.4809875,33.64001089,72.98458558
-1,6234,20,7,amstel king,C:\Users\jadoo\Downloads\nust_33.jpg,moraceae,18/12/2023 0:00,27.8071995,35.8039017,24.9484997,46.5923996,10831.7998,92.0154037,18.9547997,337.4809875,33.63999647,72.9845985
